Year,City,State,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,County,County_Year_Key
2010,Tampa, FL, United States,1.0,0.2709599027946537,78.5,0.5369458128078817,0.25091575091575086,88.9,Hillsborough County,Hillsborough County_2010
2010,Columbus, OH, United States,0.8939393939393941,0.30255164034021875,77.0,0.5197044334975368,0.25091575091575086,93.7,Franklin County,Franklin County_2010
2010,Portland, OR, United States,0.8549783549783552,0.35115431348724185,77.7,0.4778325123152709,0.358974358974359,122.7,Multnomah County,Multnomah County_2010
2010,Atlanta, GA, United States,0.8138528138528139,0.2794653705953828,74.0,0.4716748768472906,0.6245421245421245,79.6,Fulton County,Fulton County_2010
2010,Seattle, WA, United States,0.7987012987012987,0.3900364520048602,77.8,0.6071428571428571,1.0,133.9,King County,King County_2010
2010,New York, NY, United States,0.7922077922077924,1.0,100.0,0.5467980295566501,0.8589743589743589,100.0,New York County,New York County_2010
2010,Minneapolis, MN, United States,0.6363636363636364,0.4714459295261239,76.6,0.586206896551724,0.49267399267399264,83.5,Hennepin County,Hennepin County_2010
2010,Austin, TX, United States,0.6060606060606063,0.48359659781287967,76.2,0.44334975369458113,0.5091575091575092,114.2,Travis County,Travis County_2010
2010,San Francisco, CA, United States,0.5887445887445887,0.7752126366950182,86.6,0.7241379310344827,0.6758241758241758,114.2,San Francisco County,San Francisco County_2010
2010,Boston, MA, United States,0.5562770562770563,0.5528554070473877,77.5,0.2660098522167487,0.45604395604395603,120.0,Suffolk County,Suffolk County_2010
2010,Philadelphia, PA, United States,0.4783549783549784,0.5066828675577157,73.8,0.6428571428571427,0.23809523809523797,122.9,Philadelphia County,Philadelphia County_2010
2010,Lincoln, NE, United States,0.3419913419913421,0.14337788578371813,57.0,0.0701970443349753,0.11904761904761904,118.3,Lancaster County,Lancaster County_2010
2011,New York, NY, United States,0.7922077922077924,1.0,100.0,0.5467980295566501,0.8589743589743589,100.0,New York County,New York County_2011
2011,Seattle, WA, United States,0.655844155844156,0.34143377885783716,76.5,0.4741379310344826,0.5952380952380951,124.9,King County,King County_2011
2011,Phoenix, AZ, United States,0.6103896103896104,0.22600243013365734,71.8,0.2463054187192117,0.26923076923076916,112.9,Maricopa County,Maricopa County_2011
