County_Year_Key,Index,Value
Hillsborough County_2010,Cost of Living Index,1.0
Franklin County_2010,Cost of Living Index,0.8939393939393941
Multnomah County_2010,Cost of Living Index,0.8549783549783552
Fulton County_2010,Cost of Living Index,0.8138528138528139
King County_2010,Cost of Living Index,0.7987012987012987
New York County_2010,Cost of Living Index,0.7922077922077924
Hennepin County_2010,Cost of Living Index,0.6363636363636364
Travis County_2010,Cost of Living Index,0.6060606060606063
San Francisco County_2010,Cost of Living Index,0.5887445887445887
Suffolk County_2010,Cost of Living Index,0.5562770562770563
Philadelphia County_2010,Cost of Living Index,0.4783549783549784
Lancaster County_2010,Cost of Living Index,0.3419913419913421
New York County_2011,Cost of Living Index,0.7922077922077924
King County_2011,Cost of Living Index,0.655844155844156
Maricopa County_2011,Cost of Living Index,0.6103896103896104
Suffolk County_2011,Cost of Living Index,0.5714285714285714
Los Angeles County_2011,Cost of Living Index,0.5584415584415586
Hillsborough County_2011,Cost of Living Index,0.5562770562770563
San Francisco County_2011,Cost of Living Index,0.5346320346320346
Miami-Dade County_2011,Cost of Living Index,0.5303030303030305
San Diego County_2011,Cost of Living Index,0.5021645021645021
Ada County_2011,Cost of Living Index,0.4956709956709957
Dallas County_2011,Cost of Living Index,0.4870129870129872
Hennepin County_2011,Cost of Living Index,0.4350649350649351
Fulton County_2011,Cost of Living Index,0.4134199134199134
Santa Clara County_2011,Cost of Living Index,0.4004329004329006
Orleans Parish_2011,Cost of Living Index,0.3506493506493506
Jefferson County_2011,Cost of Living Index,0.3441558441558441
Shelby County_2011,Cost of Living Index,0.3398268398268397
Philadelphia County_2011,Cost of Living Index,0.3290043290043289
Milwaukee County_2011,Cost of Living Index,0.3203463203463205
Hartford County_2011,Cost of Living Index,0.2943722943722944
Bexar County_2011,Cost of Living Index,0.2380952380952382
Jackson County_2011,Cost of Living Index,0.2380952380952382
Cuyahoga County_2011,Cost of Living Index,0.2316017316017315
Travis County_2011,Cost of Living Index,0.2164502164502166
Wayne County_2011,Cost of Living Index,0.1948051948051949
Fresno County_2011,Cost of Living Index,0.1774891774891774
Bernalillo County_2011,Cost of Living Index,0.1515151515151516
Suffolk County_2012,Cost of Living Index,0.9393939393939394
Honolulu County_2012,Cost of Living Index,0.867965367965368
San Francisco County_2012,Cost of Living Index,0.8463203463203465
King County_2012,Cost of Living Index,0.8138528138528139
New York County_2012,Cost of Living Index,0.7922077922077924
Maricopa County_2012,Cost of Living Index,0.7619047619047619
District of Columbia_2012,Cost of Living Index,0.7532467532467534
