County,Year,Monthly Rent,County_Year_Key
Acadia,2010,1075.5,Acadia County_2010
Acadia,2011,1108.5,Acadia County_2011
Acadia,2012,1114.5,Acadia County_2012
Acadia,2013,1040.8333333333333,Acadia County_2013
Acadia,2014,1050.5833333333333,Acadia County_2014
Acadia,2015,1191.8333333333333,Acadia County_2015
Ada,2010,,Ada County_2010
Ada,2011,1144.1333333333334,Ada County_2011
Ada,2012,1155.8333333333333,Ada County_2012
Ada,2013,1224.8055555555557,Ada County_2013
Ada,2014,1298.888888888889,Ada County_2014
Ada,2015,1392.4722222222222,Ada County_2015
Adams,2010,1202.0,Adams County_2010
Adams,2011,1252.0277777777778,Adams County_2011
Adams,2012,1263.6,Adams County_2012
Adams,2013,1316.0833333333333,Adams County_2013
Adams,2014,1367.90625,Adams County_2014
Adams,2015,1482.1041666666667,Adams County_2015
Aiken,2010,877.5,Aiken County_2010
Aiken,2011,994.75,Aiken County_2011
Aiken,2012,877.0833333333334,Aiken County_2012
Aiken,2013,874.25,Aiken County_2013
Aiken,2014,868.3333333333334,Aiken County_2014
Aiken,2015,942.25,Aiken County_2015
Alachua,2010,1034.5,Alachua County_2010
Alachua,2011,1035.25,Alachua County_2011
Alachua,2012,1068.3333333333333,Alachua County_2012
Alachua,2013,1116.0,Alachua County_2013
Alachua,2014,1150.5833333333333,Alachua County_2014
Alachua,2015,1171.5833333333333,Alachua County_2015
Alamance,2010,978.5,Alamance County_2010
Alamance,2011,963.3333333333334,Alamance County_2011
Alamance,2012,941.625,Alamance County_2012
Alamance,2013,882.0416666666666,Alamance County_2013
Alamance,2014,953.875,Alamance County_2014
Alamance,2015,984.25,Alamance County_2015
Alameda,2010,2075.8214285714284,Alameda County_2010
Alameda,2011,2064.1309523809523,Alameda County_2011
Alameda,2012,2104.9166666666665,Alameda County_2012
Alameda,2013,2181.4166666666665,Alameda County_2013
Alameda,2014,2419.059523809524,Alameda County_2014
Alameda,2015,2803.7321428571427,Alameda County_2015
Albany,2010,1520.125,Albany County_2010
Albany,2011,1428.5,Albany County_2011
Albany,2012,1326.1929824561403,Albany County_2012
Albany,2013,1309.5166666666667,Albany County_2013
Albany,2014,1298.2333333333333,Albany County_2014
Albany,2015,1404.45,Albany County_2015
Albemarle,2010,1297.0,Albemarle County_2010
Albemarle,2011,1330.0833333333333,Albemarle County_2011
Albemarle,2012,1408.0833333333333,Albemarle County_2012
Albemarle,2013,1427.75,Albemarle County_2013
Albemarle,2014,1438.25,Albemarle County_2014
Albemarle,2015,1504.0833333333333,Albemarle County_2015
Alexandria City,2010,2149.0,Alexandria City County_2010
Alexandria City,2011,2206.1666666666665,Alexandria City County_2011
Alexandria City,2012,2273.1666666666665,Alexandria City County_2012
Alexandria City,2013,2337.75,Alexandria City County_2013
Alexandria City,2014,2377.75,Alexandria City County_2014
Alexandria City,2015,2426.0833333333335,Alexandria City County_2015
Allegany,2010,1108.0,Allegany County_2010
Allegany,2011,1140.0,Allegany County_2011
Allegany,2012,1171.25,Allegany County_2012
Allegany,2013,1131.6666666666667,Allegany County_2013
Allegany,2014,1053.5833333333333,Allegany County_2014
Allegany,2015,1087.4166666666667,Allegany County_2015
Allegheny,2010,1210.96875,Allegheny County_2010
Allegheny,2011,1181.7552083333333,Allegheny County_2011
Allegheny,2012,1210.1302083333333,Allegheny County_2012
Allegheny,2013,1286.1770833333333,Allegheny County_2013
Allegheny,2014,1321.6666666666667,Allegheny County_2014
Allegheny,2015,1344.7395833333333,Allegheny County_2015
Allen,2010,840.0,Allen County_2010
Allen,2011,812.6666666666666,Allen County_2011
Allen,2012,820.8055555555555,Allen County_2012
Allen,2013,813.75,Allen County_2013
Allen,2014,825.1666666666666,Allen County_2014
Allen,2015,838.5,Allen County_2015
Alpena,2010,1119.5,Alpena County_2010
Alpena,2011,1060.75,Alpena County_2011
Alpena,2012,868.1666666666666,Alpena County_2012
Alpena,2013,838.25,Alpena County_2013
Alpena,2014,842.75,Alpena County_2014
Alpena,2015,854.75,Alpena County_2015
Anchorage,2010,,Anchorage County_2010
Anchorage,2011,1830.1,Anchorage County_2011
Anchorage,2012,1862.75,Anchorage County_2012
Anchorage,2013,1943.25,Anchorage County_2013
Anchorage,2014,1901.25,Anchorage County_2014
Anchorage,2015,1960.0,Anchorage County_2015
Anderson,2010,973.7,Anderson County_2010
Anderson,2011,952.4,Anderson County_2011
Anderson,2012,945.0666666666667,Anderson County_2012
Anderson,2013,934.5166666666667,Anderson County_2013
Anderson,2014,985.7333333333333,Anderson County_2014
Anderson,2015,1002.0833333333334,Anderson County_2015
Angelina,2010,1109.0,Angelina County_2010
Angelina,2011,1096.6666666666667,Angelina County_2011
Angelina,2012,903.9166666666666,Angelina County_2012
Angelina,2013,860.8333333333334,Angelina County_2013
Angelina,2014,921.0,Angelina County_2014
Angelina,2015,1028.5833333333333,Angelina County_2015
Anne Arundel,2010,1881.375,Anne Arundel County_2010
Anne Arundel,2011,1888.21875,Anne Arundel County_2011
Anne Arundel,2012,1902.4791666666667,Anne Arundel County_2012
Anne Arundel,2013,1941.7916666666667,Anne Arundel County_2013
Anne Arundel,2014,1996.4270833333333,Anne Arundel County_2014
Anne Arundel,2015,2033.6979166666667,Anne Arundel County_2015
Anoka,2010,1338.388888888889,Anoka County_2010
Anoka,2011,1371.0833333333333,Anoka County_2011
Anoka,2012,1387.111111111111,Anoka County_2012
Anoka,2013,1421.7314814814815,Anoka County_2013
Anoka,2014,1464.888888888889,Anoka County_2014
Anoka,2015,1482.148148148148,Anoka County_2015
Arapahoe,2010,1278.875,Arapahoe County_2010
Arapahoe,2011,1413.6875,Arapahoe County_2011
Arapahoe,2012,1470.0416666666667,Arapahoe County_2012
Arapahoe,2013,1571.8125,Arapahoe County_2013
Arapahoe,2014,1672.8541666666667,Arapahoe County_2014
Arapahoe,2015,1891.5416666666667,Arapahoe County_2015
Arlington,2010,2557.5,Arlington County_2010
Arlington,2011,2578.3333333333335,Arlington County_2011
Arlington,2012,2643.8333333333335,Arlington County_2012
Arlington,2013,2679.0,Arlington County_2013
Arlington,2014,2723.6666666666665,Arlington County_2014
Arlington,2015,2731.0833333333335,Arlington County_2015
Ascension,2010,,Ascension County_2010
Ascension,2011,,Ascension County_2011
Ascension,2012,1347.7222222222222,Ascension County_2012
Ascension,2013,1410.375,Ascension County_2013
Ascension,2014,1495.25,Ascension County_2014
Ascension,2015,1615.3333333333333,Ascension County_2015
Asotin,2010,1149.5,Asotin County_2010
Asotin,2011,1160.5833333333333,Asotin County_2011
Asotin,2012,1156.8333333333333,Asotin County_2012
Asotin,2013,1160.5,Asotin County_2013
Asotin,2014,1183.8333333333333,Asotin County_2014
Asotin,2015,1228.0833333333333,Asotin County_2015
Atlantic,2010,1544.2,Atlantic County_2010
Atlantic,2011,1457.5166666666667,Atlantic County_2011
Atlantic,2012,1436.35,Atlantic County_2012
Atlantic,2013,1448.6166666666666,Atlantic County_2013
Atlantic,2014,1411.7166666666667,Atlantic County_2014
Atlantic,2015,1458.9833333333333,Atlantic County_2015
Autauga,2010,992.5,Autauga County_2010
Autauga,2011,973.5833333333334,Autauga County_2011
Autauga,2012,971.8333333333334,Autauga County_2012
Autauga,2013,1023.25,Autauga County_2013
Autauga,2014,1024.1666666666667,Autauga County_2014
Autauga,2015,1041.0833333333333,Autauga County_2015
Baldwin,2010,1112.375,Baldwin County_2010
